date,home,home_score,away,away_score,venue
2005-04-02,CD Chivas USA,0,D.C. United,2,The Home Depot Center
2005-04-02,New York Red Bulls,0,Real Salt Lake,0,Giants Stadium
2005-04-02,Columbus Crew SC,3,LA Galaxy,0,Columbus Crew Stadium
2005-04-02,Sporting Kansas City,3,Colorado Rapids,2,Arrowhead Stadium
2005-04-02,FC Dallas,2,Chicago Fire,1,Cotton Bowl
2005-04-02,San Jose Earthquakes,2,New England Revolution,2,Spartan Stadium
2005-04-09,San Jose Earthquakes,3,CD Chivas USA,3,Spartan Stadium
2005-04-09,New England Revolution,3,Columbus Crew SC,0,Gillette Stadium
2005-04-09,D.C. United,1,Chicago Fire,1,RFK Stadium
2005-04-09,Colorado Rapids,0,FC Dallas,0,Invesco Field at Mile High
2005-04-09,LA Galaxy,3,Real Salt Lake,1,The Home Depot Center
2005-04-15,Columbus Crew SC,1,D.C. United,0,Columbus Crew Stadium
2005-04-16,Real Salt Lake,1,Colorado Rapids,0,Rice-Eccles Stadium
2005-04-16,New York Red Bulls,2,Sporting Kansas City,2,Giants Stadium
2005-04-16,Chicago Fire,2,San Jose Earthquakes,1,Soldier Field
2005-04-16,CD Chivas USA,1,FC Dallas,3,The Home Depot Center
2005-04-22,New York Red Bulls,0,Chicago Fire,1,Giants Stadium
2005-04-23,D.C. United,3,New England Revolution,4,RFK Stadium
2005-04-23,FC Dallas,3,Real Salt Lake,0,Cotton Bowl
2005-04-23,Colorado Rapids,2,Columbus Crew SC,0,Invesco Field at Mile High
2005-04-23,LA Galaxy,3,CD Chivas USA,1,The Home Depot Center
2005-04-23,San Jose Earthquakes,3,Sporting Kansas City,2,Spartan Stadium
2005-04-27,Chicago Fire,0,New England Revolution,3,Soldier Field
2005-04-30,Sporting Kansas City,0,D.C. United,0,Arrowhead Stadium
2005-04-30,New England Revolution,1,CD Chivas USA,0,Gillette Stadium
2005-04-30,Columbus Crew SC,0,Chicago Fire,2,Columbus Crew Stadium
2005-04-30,Colorado Rapids,1,New York Red Bulls,3,Invesco Field at Mile High
2005-04-30,Real Salt Lake,2,San Jose Earthquakes,2,Rice-Eccles Stadium
2005-04-30,LA Galaxy,2,FC Dallas,0,The Home Depot Center
2005-05-07,New York Red Bulls,0,San Jose Earthquakes,1,Giants Stadium
2005-05-07,New England Revolution,2,Chicago Fire,0,Gillette Stadium
2005-05-07,D.C. United,3,Columbus Crew SC,1,RFK Stadium
2005-05-07,Sporting Kansas City,3,FC Dallas,3,Arrowhead Stadium
2005-05-07,CD Chivas USA,1,Real Salt Lake,0,The Home Depot Center
2005-05-08,LA Galaxy,3,Colorado Rapids,2,The Home Depot Center
2005-05-14,New England Revolution,1,D.C. United,0,Gillette Stadium
2005-05-14,Columbus Crew SC,0,Sporting Kansas City,4,Columbus Crew Stadium
2005-05-14,Chicago Fire,0,New York Red Bulls,3,Soldier Field
2005-05-14,Colorado Rapids,2,CD Chivas USA,1,Invesco Field at Mile High
2005-05-14,Real Salt Lake,2,LA Galaxy,1,Rice-Eccles Stadium
