date,home,home_score,away,away_score,venue
1997-03-22,San Jose Earthquakes,1,New York Red Bulls,0,Spartan Stadium
1997-03-29,LA Galaxy,0,D.C. United,1,Rose Bowl
1997-03-29,Columbus Crew SC,2,Colorado Rapids,1,Ohio Stadium
1997-03-29,Sporting Kansas City,3,San Jose Earthquakes,2,Arrowhead Stadium
1997-03-29,FC Dallas,0,New England Revolution,1,Cotton Bowl
1997-03-29,Tampa Bay Mutiny,2,New York Red Bulls,1,Houlihan's Stadium
1997-04-05,D.C. United,2,New York Red Bulls,1,RFK Stadium
1997-04-05,Sporting Kansas City,3,LA Galaxy,2,Arrowhead Stadium
1997-04-05,FC Dallas,2,San Jose Earthquakes,1,Cotton Bowl
1997-04-06,Colorado Rapids,2,Columbus Crew SC,0,Mile High Stadium
1997-04-06,Tampa Bay Mutiny,4,New England Revolution,0,Houlihan's Stadium
1997-04-12,Tampa Bay Mutiny,2,Sporting Kansas City,1,Houlihan's Stadium
1997-04-12,New York Red Bulls,3,New England Revolution,1,Giants Stadium
1997-04-12,Colorado Rapids,2,D.C. United,5,Mile High Stadium
1997-04-12,San Jose Earthquakes,4,LA Galaxy,1,Spartan Stadium
1997-04-13,Columbus Crew SC,2,FC Dallas,1,Ohio Stadium
1997-04-18,LA Galaxy,2,Colorado Rapids,1,Rose Bowl
1997-04-18,Sporting Kansas City,2,FC Dallas,1,Arrowhead Stadium
1997-04-19,New York Red Bulls,1,D.C. United,2,Giants Stadium
1997-04-19,Columbus Crew SC,2,San Jose Earthquakes,1,Ohio Stadium
1997-04-20,FC Dallas,4,Colorado Rapids,1,Cotton Bowl
1997-04-20,New England Revolution,2,Tampa Bay Mutiny,1,Foxboro Stadium
1997-04-23,Colorado Rapids,1,FC Dallas,0,Mile High Stadium
1997-04-26,LA Galaxy,1,FC Dallas,2,Rose Bowl
1997-04-26,New York Red Bulls,2,Columbus Crew SC,1,Giants Stadium
1997-04-26,New England Revolution,2,Colorado Rapids,1,Foxboro Stadium
1997-04-26,D.C. United,2,San Jose Earthquakes,3,RFK Stadium
1997-04-27,Sporting Kansas City,2,Tampa Bay Mutiny,3,Arrowhead Stadium
1997-05-02,D.C. United,2,LA Galaxy,0,RFK Stadium
1997-05-03,New England Revolution,2,Sporting Kansas City,1,Foxboro Stadium
1997-05-03,San Jose Earthquakes,1,Columbus Crew SC,3,Spartan Stadium
1997-05-03,Colorado Rapids,2,Tampa Bay Mutiny,0,Mile High Stadium
1997-05-04,New York Red Bulls,1,LA Galaxy,0,Giants Stadium
1997-05-04,FC Dallas,3,D.C. United,2,Cotton Bowl
1997-05-09,New England Revolution,0,Columbus Crew SC,2,Foxboro Stadium
