date,home,home_score,away,away_score,venue
1999-03-20,LA Galaxy,2,Colorado Rapids,1,Rose Bowl
1999-03-20,San Jose Earthquakes,1,Chicago Fire,3,Spartan Stadium
1999-03-20,Tampa Bay Mutiny,2,D.C. United,5,Raymond James Stadium
1999-03-20,Miami Fusion,2,New York Red Bulls,3,Lockhart Stadium
1999-03-20,FC Dallas,4,Sporting Kansas City,0,Cotton Bowl
1999-03-27,Sporting Kansas City,0,Chicago Fire,3,Arrowhead Stadium
1999-03-27,San Jose Earthquakes,3,Colorado Rapids,2,Spartan Stadium
1999-03-28,New York Red Bulls,1,Columbus Crew SC,0,Giants Stadium
1999-03-28,Miami Fusion,2,New England Revolution,1,Lockhart Stadium
1999-03-28,LA Galaxy,1,FC Dallas,0,Rose Bowl
1999-04-03,San Jose Earthquakes,2,LA Galaxy,1,Spartan Stadium
1999-04-03,Tampa Bay Mutiny,2,Columbus Crew SC,3,Raymond James Stadium
1999-04-03,Miami Fusion,1,Chicago Fire,4,Lockhart Stadium
1999-04-03,New York Red Bulls,0,D.C. United,1,Giants Stadium
1999-04-03,Sporting Kansas City,0,New England Revolution,1,Arrowhead Stadium
1999-04-08,LA Galaxy,1,Columbus Crew SC,2,Rose Bowl
1999-04-10,Sporting Kansas City,1,San Jose Earthquakes,2,Arrowhead Stadium
1999-04-10,New England Revolution,2,D.C. United,3,Foxboro Stadium
1999-04-10,Chicago Fire,0,FC Dallas,1,Soldier Field
1999-04-10,Colorado Rapids,4,Miami Fusion,1,Mile High Stadium
1999-04-11,Tampa Bay Mutiny,1,New York Red Bulls,2,Raymond James Stadium
1999-04-15,Miami Fusion,2,FC Dallas,1,Lockhart Stadium
1999-04-17,New England Revolution,0,Columbus Crew SC,1,Foxboro Stadium
1999-04-17,D.C. United,1,San Jose Earthquakes,2,RFK Stadium
1999-04-17,Chicago Fire,1,LA Galaxy,0,Soldier Field
1999-04-17,Colorado Rapids,2,Sporting Kansas City,1,Mile High Stadium
1999-04-18,FC Dallas,2,Tampa Bay Mutiny,1,Cotton Bowl
1999-04-24,LA Galaxy,1,San Jose Earthquakes,0,Rose Bowl
1999-04-24,D.C. United,2,New England Revolution,3,RFK Stadium
1999-04-24,Miami Fusion,1,Sporting Kansas City,0,Lockhart Stadium
1999-04-24,FC Dallas,2,Columbus Crew SC,0,Cotton Bowl
1999-04-25,New York Red Bulls,0,Tampa Bay Mutiny,1,Giants Stadium
1999-04-28,Sporting Kansas City,0,Columbus Crew SC,1,Arrowhead Stadium
1999-04-30,San Jose Earthquakes,2,FC Dallas,1,Spartan Stadium
1999-05-01,Tampa Bay Mutiny,2,Miami Fusion,1,Raymond James Stadium
1999-05-01,New York Red Bulls,0,LA Galaxy,1,Giants Stadium
1999-05-01,New England Revolution,1,Colorado Rapids,2,Foxboro Stadium
1999-05-01,Chicago Fire,3,D.C. United,2,Soldier Field
1999-05-08,D.C. United,2,New York Red Bulls,1,RFK Stadium
1999-05-08,Tampa Bay Mutiny,2,Chicago Fire,1,Raymond James Stadium
1999-05-08,New England Revolution,1,Miami Fusion,0,Foxboro Stadium
1999-05-08,Sporting Kansas City,2,LA Galaxy,1,Arrowhead Stadium
1999-05-08,FC Dallas,1,Colorado Rapids,2,Cotton Bowl
1999-05-09,San Jose Earthquakes,1,Columbus Crew SC,2,Spartan Stadium
1999-05-15,LA Galaxy,0,Tampa Bay Mutiny,1,Rose Bowl
1999-05-15,New York Red Bulls,3,Miami Fusion,2,Giants Stadium
1999-05-15,Columbus Crew SC,2,New England Revolution,0,Columbus Crew Stadium
1999-05-15,Sporting Kansas City,3,D.C. United,4,Arrowhead Stadium
1999-05-15,FC Dallas,2,San Jose Earthquakes,1,Cotton Bowl
1999-05-16,Chicago Fire,0,Colorado Rapids,1,Soldier Field
1999-05-22,San Jose Earthquakes,2,FC Dallas,1,Spartan Stadium
1999-05-22,Miami Fusion,1,D.C. United,3,Lockhart Stadium
1999-05-22,Columbus Crew SC,0,Tampa Bay Mutiny,1,Columbus Crew Stadium
