date,home,home_score,away,away_score,venue
2000-03-18,LA Galaxy,2,Colorado Rapids,1,Rose Bowl
2000-03-18,FC Dallas,4,Chicago Fire,2,Cotton Bowl
2000-03-18,Tampa Bay Mutiny,5,Columbus Crew SC,1,Raymond James Stadium
2000-03-18,Miami Fusion,1,New England Revolution,1,Lockhart Stadium
2000-03-25,D.C. United,0,LA Galaxy,4,RFK Stadium
2000-03-25,Tampa Bay Mutiny,1,New England Revolution,0,Raymond James Stadium
2000-03-25,Columbus Crew SC,2,San Jose Earthquakes,1,Columbus Crew Stadium
2000-03-25,Sporting Kansas City,4,Chicago Fire,3,Arrowhead Stadium
2000-03-25,FC Dallas,0,Colorado Rapids,1,Cotton Bowl
2000-03-26,Miami Fusion,3,New York Red Bulls,1,Lockhart Stadium
2000-04-01,LA Galaxy,2,New England Revolution,2,Rose Bowl
2000-04-01,Miami Fusion,0,San Jose Earthquakes,0,Lockhart Stadium
2000-04-01,Columbus Crew SC,0,Chicago Fire,2,Columbus Crew Stadium
2000-04-01,New York Red Bulls,3,D.C. United,2,Giants Stadium
2000-04-01,Sporting Kansas City,3,Colorado Rapids,0,Arrowhead Stadium
2000-04-01,FC Dallas,1,Tampa Bay Mutiny,0,Cotton Bowl
2000-04-08,San Jose Earthquakes,2,New York Red Bulls,0,Spartan Stadium
2000-04-08,Columbus Crew SC,2,LA Galaxy,2,Columbus Crew Stadium
2000-04-08,D.C. United,3,Chicago Fire,2,RFK Stadium
2000-04-08,Miami Fusion,0,Sporting Kansas City,0,Lockhart Stadium
2000-04-08,FC Dallas,2,New England Revolution,1,Cotton Bowl
2000-04-08,Colorado Rapids,1,Tampa Bay Mutiny,0,Mile High Stadium
2000-04-15,LA Galaxy,2,FC Dallas,1,Rose Bowl
2000-04-15,Tampa Bay Mutiny,4,Colorado Rapids,2,Raymond James Stadium
2000-04-15,New England Revolution,2,D.C. United,1,Foxboro Stadium
2000-04-15,New York Red Bulls,0,Columbus Crew SC,1,Giants Stadium
2000-04-15,Sporting Kansas City,2,San Jose Earthquakes,0,Arrowhead Stadium
2000-04-15,Chicago Fire,1,Miami Fusion,0,Soldier Field
2000-04-19,New York Red Bulls,1,Sporting Kansas City,2,Giants Stadium
2000-04-22,San Jose Earthquakes,5,FC Dallas,0,Spartan Stadium
2000-04-22,LA Galaxy,2,Miami Fusion,0,Rose Bowl
2000-04-22,New England Revolution,1,Chicago Fire,1,Foxboro Stadium
2000-04-22,D.C. United,2,New York Red Bulls,3,RFK Stadium
2000-04-22,Columbus Crew SC,2,Colorado Rapids,3,Columbus Crew Stadium
2000-04-22,Sporting Kansas City,1,Tampa Bay Mutiny,0,Arrowhead Stadium
2000-04-26,Tampa Bay Mutiny,4,San Jose Earthquakes,0,Raymond James Stadium
2000-04-28,Chicago Fire,5,Tampa Bay Mutiny,1,Soldier Field
2000-04-29,San Jose Earthquakes,2,D.C. United,2,Spartan Stadium
2000-04-29,New York Red Bulls,0,LA Galaxy,1,Giants Stadium
2000-04-29,New England Revolution,1,Miami Fusion,1,Foxboro Stadium
2000-04-29,FC Dallas,2,Columbus Crew SC,1,Cotton Bowl
2000-04-29,Colorado Rapids,0,Sporting Kansas City,5,Mile High Stadium
2000-05-03,D.C. United,1,Columbus Crew SC,2,RFK Stadium
2000-05-03,Chicago Fire,1,Colorado Rapids,2,Soldier Field
2000-05-06,LA Galaxy,0,Sporting Kansas City,0,Rose Bowl
2000-05-06,Tampa Bay Mutiny,3,FC Dallas,1,Raymond James Stadium
2000-05-06,Miami Fusion,0,Chicago Fire,3,Lockhart Stadium
2000-05-06,Columbus Crew SC,0,New York Red Bulls,2,Columbus Crew Stadium
2000-05-06,New England Revolution,2,San Jose Earthquakes,1,Foxboro Stadium
2000-05-06,Colorado Rapids,2,D.C. United,5,Mile High Stadium
2000-05-10,Miami Fusion,1,D.C. United,0,Lockhart Stadium
2000-05-13,Chicago Fire,4,San Jose Earthquakes,1,Soldier Field
2000-05-13,Tampa Bay Mutiny,3,Columbus Crew SC,1,Raymond James Stadium
2000-05-13,D.C. United,1,New England Revolution,3,RFK Stadium
2000-05-13,Sporting Kansas City,2,New York Red Bulls,0,Arrowhead Stadium
2000-05-13,FC Dallas,1,LA Galaxy,1,Cotton Bowl
2000-05-13,Colorado Rapids,1,Miami Fusion,2,Mile High Stadium
2000-05-17,San Jose Earthquakes,0,LA Galaxy,0,Spartan Stadium
