date,home,home_score,away,away_score,venue
2011-03-15,Seattle Sounders FC,0,LA Galaxy,1,Qwest Field
2011-03-19,Vancouver Whitecaps FC,4,Toronto FC,2,Empire Field
2011-03-19,New York Red Bulls,1,Seattle Sounders FC,0,Red Bull Arena
2011-03-19,D.C. United,3,Columbus Crew SC,1,RFK Stadium
2011-03-19,FC Dallas,1,Chicago Fire,1,Pizza Hut Park
2011-03-19,Houston Dynamo,0,Philadelphia Union,1,Robertson Stadium
2011-03-19,Colorado Rapids,3,Portland Timbers,1,Dick's Sporting Goods Park
2011-03-19,CD Chivas USA,2,Sporting Kansas City,3,The Home Depot Center
2011-03-19,San Jose Earthquakes,0,Real Salt Lake,1,Buck Shaw Stadium
2011-03-20,LA Galaxy,1,New England Revolution,1,The Home Depot Center
2011-03-25,Seattle Sounders FC,1,Houston Dynamo,1,Qwest Field
2011-03-26,Toronto FC,2,Portland Timbers,0,BMO Field
2011-03-26,Columbus Crew SC,0,New York Red Bulls,0,Crew Stadium
2011-03-26,Chicago Fire,3,Sporting Kansas City,2,Toyota Park
2011-03-26,Philadelphia Union,1,Vancouver Whitecaps FC,0,Talen Energy Stadium
2011-03-26,New England Revolution,2,D.C. United,1,Gillette Stadium
2011-03-26,FC Dallas,0,San Jose Earthquakes,2,Pizza Hut Park
2011-03-26,Real Salt Lake,4,LA Galaxy,1,Rio Tinto Stadium
2011-03-26,CD Chivas USA,0,Colorado Rapids,1,The Home Depot Center
2011-04-01,Columbus Crew SC,2,FC Dallas,0,Crew Stadium
2011-04-02,Toronto FC,1,CD Chivas USA,1,BMO Field
2011-04-02,Vancouver Whitecaps FC,3,Sporting Kansas City,3,Empire Field
2011-04-02,New York Red Bulls,1,Houston Dynamo,1,Red Bull Arena
2011-04-02,New England Revolution,1,Portland Timbers,1,Gillette Stadium
2011-04-02,LA Galaxy,1,Philadelphia Union,0,The Home Depot Center
2011-04-02,San Jose Earthquakes,2,Seattle Sounders FC,2,Buck Shaw Stadium
2011-04-03,Colorado Rapids,4,D.C. United,1,Dick's Sporting Goods Park
2011-04-06,Vancouver Whitecaps FC,1,New England Revolution,1,Empire Field
2011-04-08,FC Dallas,3,Colorado Rapids,0,Pizza Hut Park
2011-04-09,Seattle Sounders FC,2,Chicago Fire,1,Qwest Field
2011-04-09,Philadelphia Union,1,New York Red Bulls,0,Talen Energy Stadium
2011-04-09,New England Revolution,0,Real Salt Lake,2,Gillette Stadium
2011-04-09,D.C. United,1,LA Galaxy,1,RFK Stadium
2011-04-09,CD Chivas USA,0,Columbus Crew SC,0,The Home Depot Center
2011-04-09,San Jose Earthquakes,1,Toronto FC,1,Buck Shaw Stadium
2011-04-10,Houston Dynamo,3,Vancouver Whitecaps FC,1,Robertson Stadium
2011-04-13,Toronto FC,0,LA Galaxy,0,BMO Field
2011-04-13,Real Salt Lake,1,Colorado Rapids,0,Rio Tinto Stadium
2011-04-14,Portland Timbers,4,Chicago Fire,2,JELD-WEN Field
2011-04-16,Philadelphia Union,1,Seattle Sounders FC,1,Talen Energy Stadium
2011-04-16,Vancouver Whitecaps FC,0,CD Chivas USA,0,Empire Field
2011-04-16,Toronto FC,0,D.C. United,3,BMO Field
2011-04-16,New York Red Bulls,3,San Jose Earthquakes,0,Red Bull Arena
2011-04-16,Columbus Crew SC,1,Sporting Kansas City,0,Crew Stadium
2011-04-17,Chicago Fire,1,LA Galaxy,2,Toyota Park
2011-04-17,Portland Timbers,3,FC Dallas,2,JELD-WEN Field
2011-04-17,Houston Dynamo,1,New England Revolution,0,Robertson Stadium
2011-04-21,D.C. United,0,New York Red Bulls,4,RFK Stadium
2011-04-22,Colorado Rapids,0,Seattle Sounders FC,1,Dick's Sporting Goods Park
2011-04-23,San Jose Earthquakes,1,CD Chivas USA,2,Buck Shaw Stadium
2011-04-23,Toronto FC,1,Columbus Crew SC,1,BMO Field
2011-04-23,Vancouver Whitecaps FC,1,FC Dallas,2,Empire Field
2011-04-23,New England Revolution,3,Sporting Kansas City,2,Gillette Stadium
2011-04-23,Chicago Fire,1,Houston Dynamo,1,Toyota Park
2011-04-23,LA Galaxy,3,Portland Timbers,0,The Home Depot Center
2011-04-29,Houston Dynamo,4,D.C. United,1,Robertson Stadium
2011-04-30,Philadelphia Union,1,San Jose Earthquakes,0,Talen Energy Stadium
2011-04-30,Columbus Crew SC,2,Vancouver Whitecaps FC,1,Crew Stadium
2011-04-30,New York Red Bulls,1,Sporting Kansas City,0,Red Bull Arena
2011-04-30,Colorado Rapids,1,Chicago Fire,1,Dick's Sporting Goods Park
2011-04-30,Seattle Sounders FC,3,Toronto FC,0,Qwest Field
2011-04-30,CD Chivas USA,3,New England Revolution,0,The Home Depot Center
2011-04-30,Portland Timbers,1,Real Salt Lake,0,JELD-WEN Field
2011-05-01,FC Dallas,2,LA Galaxy,1,Pizza Hut Park
2011-05-04,D.C. United,2,Seattle Sounders FC,1,RFK Stadium
2011-05-04,Houston Dynamo,1,Colorado Rapids,2,Robertson Stadium
2011-05-06,Portland Timbers,1,Philadelphia Union,0,JELD-WEN Field
2011-05-07,Real Salt Lake,1,CD Chivas USA,0,Rio Tinto Stadium
2011-05-07,Toronto FC,2,Houston Dynamo,1,BMO Field
