date,home,home_score,away,away_score,venue
2012-03-10,Vancouver Whitecaps FC,2,Montreal Impact,0,BC Place
2012-03-10,Colorado Rapids,2,Columbus Crew SC,0,Dick's Sporting Goods Park
2012-03-10,D.C. United,0,Sporting Kansas City,1,RFK Stadium
2012-03-10,LA Galaxy,1,Real Salt Lake,3,The Home Depot Center
2012-03-10,San Jose Earthquakes,1,New England Revolution,0,Buck Shaw Stadium 
2012-03-11,FC Dallas,2,New York Red Bulls,1,FC Dallas Stadium
2012-03-11,CD Chivas USA,0,Houston Dynamo,1,The Home Depot Center
2012-03-12,Portland Timbers,3,Philadelphia Union,1,JELD-WEN Field
2012-03-17,Montreal Impact,1,Chicago Fire,1,Olympic Stadium
2012-03-17,San Jose Earthquakes,0,Houston Dynamo,1,AT&T Park
2012-03-17,Sporting Kansas City,3,New England Revolution,0,Livestrong Sporting Park
2012-03-17,FC Dallas,1,Portland Timbers,1,FC Dallas Stadium
2012-03-17,Real Salt Lake,2,New York Red Bulls,0,Rio Tinto Stadium 
2012-03-17,Seattle Sounders FC,3,Toronto FC,1,
2012-03-17,CD Chivas USA,0,Vancouver Whitecaps FC,1,The Home Depot Center
2012-03-18,Philadelphia Union,1,Colorado Rapids,2,Talen Energy Stadium
2012-03-18,LA Galaxy,3,D.C. United,1,The Home Depot Center
2012-03-23,Seattle Sounders FC,2,Houston Dynamo,0,CenturyLink Field
2012-03-24,Toronto FC,0,San Jose Earthquakes,3,BMO Field
2012-03-24,Columbus Crew SC,2,Montreal Impact,0,Crew Stadium
2012-03-24,New England Revolution,1,Portland Timbers,0,Gillette Stadium
2012-03-24,Chicago Fire,1,Philadelphia Union,0,Toyota Park
2012-03-24,Real Salt Lake,0,CD Chivas USA,1,Rio Tinto Stadium
2012-03-24,Vancouver Whitecaps FC,0,D.C. United,0,BC Place
2012-03-25,New York Red Bulls,4,Colorado Rapids,1,Red Bull Arena
2012-03-25,Sporting Kansas City,2,FC Dallas,1,Livestrong Sporting Park
2012-03-30,D.C. United,4,FC Dallas,1,RFK Stadium
2012-03-31,Toronto FC,0,Columbus Crew SC,1,BMO Field
2012-03-31,New York Red Bulls,5,Montreal Impact,2,Red Bull Arena
2012-03-31,Philadelphia Union,0,Vancouver Whitecaps FC,0,Talen Energy Stadium
2012-03-31,Portland Timbers,2,Real Salt Lake,3,JELD-WEN Field
2012-03-31,Seattle Sounders FC,0,San Jose Earthquakes,1,CenturyLink Field
2012-03-31,LA Galaxy,1,New England Revolution,3,The Home Depot Center
2012-04-01,Colorado Rapids,2,Chicago Fire,0,Dick's Sporting Goods Park
2012-04-01,CD Chivas USA,0,Sporting Kansas City,1,The Home Depot Center
2012-04-04,Real Salt Lake,1,Montreal Impact,0,Rio Tinto Stadium
2012-04-05,FC Dallas,1,New England Revolution,0,FC Dallas Stadium
2012-04-07,Montreal Impact,2,Toronto FC,1,Olympic Stadium
2012-04-07,Columbus Crew SC,1,New York Red Bulls,4,Crew Stadium
2012-04-07,Sporting Kansas City,1,LA Galaxy,0,Livestrong Sporting Park
2012-04-07,San Jose Earthquakes,3,Vancouver Whitecaps FC,1,Buck Shaw Stadium
2012-04-07,D.C. United,0,Seattle Sounders FC,0,RFK Stadium
2012-04-07,Real Salt Lake,2,Colorado Rapids,0,Rio Tinto Stadium
2012-04-07,Portland Timbers,1,CD Chivas USA,2,JELD-WEN Field
2012-04-14,Philadelphia Union,1,Columbus Crew SC,0,Talen Energy Stadium
2012-04-14,New England Revolution,1,D.C. United,2,Gillette Stadium
2012-04-14,Seattle Sounders FC,1,Colorado Rapids,0,CenturyLink Field
2012-04-14,Toronto FC,0,CD Chivas USA,1,BMO Field
2012-04-14,New York Red Bulls,2,San Jose Earthquakes,2,Red Bull Arena
2012-04-14,Sporting Kansas City,1,Real Salt Lake,0,Livestrong Sporting Park
2012-04-14,FC Dallas,2,Montreal Impact,1,FC Dallas Stadium
2012-04-14,LA Galaxy,3,Portland Timbers,1,The Home Depot Center
2012-04-15,Chicago Fire,1,Houston Dynamo,1,Toyota Park
2012-04-18,D.C. United,1,Montreal Impact,1,RFK Stadium
2012-04-18,Vancouver Whitecaps FC,1,Sporting Kansas City,3,BC Place
2012-04-21,Toronto FC,2,Chicago Fire,3,BMO Field
2012-04-21,Columbus Crew SC,2,Houston Dynamo,2,Crew Stadium
2012-04-21,Colorado Rapids,1,LA Galaxy,2,Dick's Sporting Goods Park
2012-04-21,Vancouver Whitecaps FC,1,FC Dallas,0,BC Place
2012-04-21,San Jose Earthquakes,3,Real Salt Lake,1,Buck Shaw Stadium
2012-04-21,CD Chivas USA,0,Philadelphia Union,1,The Home Depot Center
2012-04-21,Portland Timbers,1,Sporting Kansas City,0,JELD-WEN Field
2012-04-22,D.C. United,4,New York Red Bulls,1,RFK Stadium
2012-04-25,FC Dallas,1,Real Salt Lake,1,FC Dallas Stadium
2012-04-28,Montreal Impact,2,Portland Timbers,0,Olympic Stadium
2012-04-28,New York Red Bulls,1,New England Revolution,0,Red Bull Arena
2012-04-28,Philadelphia Union,1,San Jose Earthquakes,2,Talen Energy Stadium
2012-04-28,D.C. United,3,Houston Dynamo,2,RFK Stadium
2012-04-28,Columbus Crew SC,0,Vancouver Whitecaps FC,1,Crew Stadium
2012-04-28,Chicago Fire,1,Seattle Sounders FC,2,Toyota Park
2012-04-28,Colorado Rapids,4,CD Chivas USA,0,Dick's Sporting Goods Park
2012-04-28,Real Salt Lake,3,Toronto FC,2,Rio Tinto Stadium
2012-04-28,LA Galaxy,1,FC Dallas,1,The Home Depot Center
2012-05-02,New England Revolution,2,Colorado Rapids,1,Gillette Stadium
2012-05-02,Seattle Sounders FC,2,LA Galaxy,0,CenturyLink Field
2012-05-02,San Jose Earthquakes,5,D.C. United,3,Buck Shaw Stadium
2012-05-04,CD Chivas USA,1,Chicago Fire,2,The Home Depot Center
2012-05-05,Toronto FC,0,D.C. United,2,BMO Field
2012-05-05,Seattle Sounders FC,1,Philadelphia Union,0,CenturyLink Field
2012-05-05,Vancouver Whitecaps FC,2,San Jose Earthquakes,1,BC Place
2012-05-05,LA Galaxy,0,New York Red Bulls,1,The Home Depot Center
2012-05-05,Sporting Kansas City,0,Montreal Impact,2,Livestrong Sporting Park
2012-05-05,Real Salt Lake,2,New England Revolution,1,Rio Tinto Stadium
2012-05-05,Portland Timbers,0,Columbus Crew SC,0,JELD-WEN Field
2012-05-06,FC Dallas,0,Colorado Rapids,2,FC Dallas Stadium
2012-05-09,New York Red Bulls,1,Houston Dynamo,0,Red Bull Arena
2012-05-09,Chicago Fire,0,Real Salt Lake,0,Toyota Park
2012-05-09,FC Dallas,0,Seattle Sounders FC,2,FC Dallas Stadium
2012-05-12,Montreal Impact,1,LA Galaxy,1,Olympic Stadium
2012-05-12,Houston Dynamo,1,D.C. United,0,BBVA Compass Stadium
2012-05-12,Columbus Crew SC,2,FC Dallas,1,Crew Stadium
2012-05-12,New England Revolution,4,Vancouver Whitecaps FC,1,Gillette Stadium
2012-05-12,Chicago Fire,2,Sporting Kansas City,1,Toyota Park
2012-05-12,Seattle Sounders FC,0,Real Salt Lake,1,CenturyLink Field
2012-05-13,Philadelphia Union,2,New York Red Bulls,3,Talen Energy Stadium
2012-05-13,San Jose Earthquakes,1,CD Chivas USA,1,Buck Shaw Stadium
2012-05-15,Houston Dynamo,0,Portland Timbers,0,BBVA Compass Stadium
2012-05-16,D.C. United,2,Colorado Rapids,0,RFK Stadium
