date,home,home_score,away,away_score,venue
2008-03-29,Columbus Crew SC,2,Toronto FC,0,Columbus Crew Stadium
2008-03-29,Real Salt Lake,1,Chicago Fire,1,Rice-Eccles Stadium
2008-03-29,New England Revolution,3,Houston Dynamo,0,Gillette Stadium
2008-03-29,Sporting Kansas City,2,D.C. United,0,CommunityAmerica Ballpark
2008-03-29,Colorado Rapids,4,LA Galaxy,0,Dick's Sporting Goods Park
2008-03-30,FC Dallas,1,CD Chivas USA,1,Pizza Hut Park
2008-04-03,Chicago Fire,4,New England Revolution,0,Toyota Park
2008-04-03,LA Galaxy,2,San Jose Earthquakes,0,The Home Depot Center
2008-04-05,Sporting Kansas City,3,Colorado Rapids,2,CommunityAmerica Ballpark
2008-04-05,D.C. United,4,Toronto FC,1,RFK Stadium
2008-04-05,New York Red Bulls,2,Columbus Crew SC,0,Giants Stadium
2008-04-05,CD Chivas USA,3,Real Salt Lake,1,The Home Depot Center
2008-04-06,Houston Dynamo,3,FC Dallas,3,Robertson Stadium
2008-04-09,Sporting Kansas City,1,New England Revolution,3,CommunityAmerica Ballpark
2008-04-12,San Jose Earthquakes,0,Chicago Fire,1,Oakland Coliseum
2008-04-12,Columbus Crew SC,4,CD Chivas USA,3,Columbus Crew Stadium
2008-04-12,New England Revolution,0,Colorado Rapids,1,Gillette Stadium
2008-04-12,Sporting Kansas City,0,Houston Dynamo,0,CommunityAmerica Ballpark
2008-04-12,FC Dallas,2,New York Red Bulls,0,Pizza Hut Park
2008-04-12,Real Salt Lake,4,D.C. United,0,Rice-Eccles Stadium
2008-04-13,LA Galaxy,2,Toronto FC,3,The Home Depot Center
2008-04-17,D.C. United,1,Columbus Crew SC,2,RFK Stadium
2008-04-19,Toronto FC,1,Real Salt Lake,0,BMO Field
2008-04-19,New York Red Bulls,1,New England Revolution,1,Giants Stadium
2008-04-19,Colorado Rapids,0,San Jose Earthquakes,2,Dick's Sporting Goods Park
2008-04-19,LA Galaxy,2,Houston Dynamo,2,The Home Depot Center
2008-04-20,Chicago Fire,0,Sporting Kansas City,1,Toyota Park
2008-04-20,CD Chivas USA,0,FC Dallas,2,The Home Depot Center
2008-04-24,FC Dallas,0,New England Revolution,1,Pizza Hut Park
2008-04-26,Toronto FC,2,Sporting Kansas City,0,BMO Field
2008-04-26,Columbus Crew SC,1,Houston Dynamo,0,Columbus Crew Stadium
2008-04-26,D.C. United,4,Real Salt Lake,1,RFK Stadium
2008-04-26,Chicago Fire,2,Colorado Rapids,1,Toyota Park
2008-04-26,LA Galaxy,5,CD Chivas USA,2,The Home Depot Center
2008-04-27,New York Red Bulls,2,San Jose Earthquakes,0,Giants Stadium
2008-05-01,Toronto FC,1,New York Red Bulls,1,BMO Field
2008-05-03,Columbus Crew SC,2,Sporting Kansas City,1,Columbus Crew Stadium
2008-05-03,New England Revolution,0,Chicago Fire,3,Gillette Stadium
2008-05-03,Houston Dynamo,0,CD Chivas USA,0,Robertson Stadium
2008-05-03,Real Salt Lake,2,LA Galaxy,2,Rice-Eccles Stadium
2008-05-03,San Jose Earthquakes,0,FC Dallas,0,Buck Shaw Stadium
2008-05-04,Colorado Rapids,2,D.C. United,0,Dick's Sporting Goods Park
2008-05-08,D.C. United,0,Chicago Fire,2,RFK Stadium
2008-05-10,Houston Dynamo,2,Colorado Rapids,1,Robertson Stadium
2008-05-10,Real Salt Lake,2,FC Dallas,1,Rice-Eccles Stadium
2008-05-10,San Jose Earthquakes,2,Columbus Crew SC,3,Buck Shaw Stadium
2008-05-10,LA Galaxy,1,New York Red Bulls,2,The Home Depot Center
2008-05-11,CD Chivas USA,1,New England Revolution,2,The Home Depot Center
2008-05-15,Colorado Rapids,2,Real Salt Lake,0,Dick's Sporting Goods Park
2008-05-17,Toronto FC,0,Columbus Crew SC,0,BMO Field
2008-05-17,New England Revolution,2,San Jose Earthquakes,0,Gillette Stadium
2008-05-17,New York Red Bulls,1,Sporting Kansas City,1,Giants Stadium
2008-05-17,Chicago Fire,1,Houston Dynamo,2,Toyota Park
2008-05-17,CD Chivas USA,3,D.C. United,1,The Home Depot Center
2008-05-18,FC Dallas,1,LA Galaxy,5,Pizza Hut Park
2008-05-21,Toronto FC,1,D.C. United,0,BMO Field
2008-05-22,San Jose Earthquakes,2,Houston Dynamo,1,Buck Shaw Stadium
