date,home,home_score,away,away_score,venue
2010-03-25,Seattle Sounders FC,2,Philadelphia Union,0,Qwest Field
2010-03-26,CD Chivas USA,0,Colorado Rapids,1,The Home Depot Center
2010-03-27,Columbus Crew SC,2,Toronto FC,0,Columbus Crew Stadium
2010-03-27,FC Dallas,1,Houston Dynamo,1,Pizza Hut Park
2010-03-27,New York Red Bulls,1,Chicago Fire,0,Red Bull Arena
2010-03-27,Sporting Kansas City,4,D.C. United,0,CommunityAmerica Ballpark
2010-03-27,San Jose Earthquakes,0,Real Salt Lake,3,Buck Shaw Stadium
2010-03-27,LA Galaxy,1,New England Revolution,0,The Home Depot Center
2010-04-01,Houston Dynamo,2,Real Salt Lake,1,Robertson Stadium
2010-04-01,LA Galaxy,2,CD Chivas USA,0,The Home Depot Center
2010-04-03,Colorado Rapids,2,Chicago Fire,2,Dick's Sporting Goods Park
2010-04-03,D.C. United,0,New England Revolution,2,RFK Stadium
2010-04-03,Seattle Sounders FC,0,New York Red Bulls,1,Qwest Field
2010-04-10,CD Chivas USA,2,New York Red Bulls,0,The Home Depot Center
2010-04-10,Philadelphia Union,3,D.C. United,2,Lincoln Financial Field
2010-04-10,New England Revolution,4,Toronto FC,1,Gillette Stadium
2010-04-10,Chicago Fire,1,San Jose Earthquakes,2,Toyota Park
2010-04-10,FC Dallas,2,Columbus Crew SC,2,Pizza Hut Park
2010-04-10,Houston Dynamo,0,LA Galaxy,2,Robertson Stadium
2010-04-10,Sporting Kansas City,1,Colorado Rapids,0,CommunityAmerica Ballpark
2010-04-10,Real Salt Lake,2,Seattle Sounders FC,2,Rio Tinto Stadium
2010-04-15,Toronto FC,2,Philadelphia Union,1,BMO Field
2010-04-17,Seattle Sounders FC,1,Sporting Kansas City,0,Qwest Field
2010-04-17,Houston Dynamo,3,CD Chivas USA,0,Robertson Stadium
2010-04-17,New York Red Bulls,2,FC Dallas,1,Red Bull Arena
2010-04-17,D.C. United,0,Chicago Fire,2,RFK Stadium
2010-04-17,San Jose Earthquakes,2,New England Revolution,0,Buck Shaw Stadium
2010-04-17,LA Galaxy,2,Real Salt Lake,1,The Home Depot Center
2010-04-18,Colorado Rapids,3,Toronto FC,1,Dick's Sporting Goods Park
2010-04-22,FC Dallas,2,Seattle Sounders FC,2,Pizza Hut Park
2010-04-24,New York Red Bulls,2,Philadelphia Union,1,Red Bull Arena
2010-04-24,Columbus Crew SC,1,Real Salt Lake,0,Columbus Crew Stadium
2010-04-24,New England Revolution,1,Colorado Rapids,2,Gillette Stadium
2010-04-24,Chicago Fire,2,Houston Dynamo,0,Toyota Park
2010-04-24,Sporting Kansas City,0,LA Galaxy,0,CommunityAmerica Ballpark
2010-04-24,CD Chivas USA,3,San Jose Earthquakes,2,The Home Depot Center
2010-04-25,Toronto FC,2,Seattle Sounders FC,0,BMO
2010-05-01,D.C. United,0,New York Red Bulls,2,RFK Stadium
2010-05-01,New England Revolution,1,FC Dallas,1,Gillette Stadium
2010-05-01,Chicago Fire,1,CD Chivas USA,1,Toyota Park
2010-05-01,Houston Dynamo,3,Sporting Kansas City,0,Robertson Stadium
2010-05-01,Real Salt Lake,2,Toronto FC,1,Rio Tinto Stadium
2010-05-01,San Jose Earthquakes,1,Colorado Rapids,0,Buck Shaw Stadium
2010-05-01,Seattle Sounders FC,1,Columbus Crew SC,1,Qwest Field
2010-05-01,LA Galaxy,3,Philadelphia Union,1,The Home Depot Center
2010-05-05,D.C. United,2,Sporting Kansas City,1,RFK Stadium
2010-05-05,New England Revolution,0,CD Chivas USA,4,Gillette Stadium
2010-05-05,Houston Dynamo,0,FC Dallas,1,Robertson Stadium
2010-05-05,Colorado Rapids,0,LA Galaxy,1,Dick's Sporting Goods Park
2010-05-08,Real Salt Lake,3,Philadelphia Union,0,Rio Tinto Stadium
2010-05-08,Toronto FC,4,Chicago Fire,1,BMO Field
2010-05-08,Seattle Sounders FC,0,LA Galaxy,4,Qwest Field
2010-05-08,Columbus Crew SC,3,New England Revolution,2,Columbus Crew Stadium
2010-05-08,FC Dallas,1,D.C. United,0,Pizza Hut Park
2010-05-08,San Jose Earthquakes,4,New York Red Bulls,0,Buck Shaw Stadium
2010-05-08,CD Chivas USA,0,Houston Dynamo,2,The Home Depot Center
2010-05-13,Real Salt Lake,3,Houston Dynamo,1,Rio Tinto Stadium
2010-05-15,Philadelphia Union,1,FC Dallas,1,Lincoln Financial Field
2010-05-15,New England Revolution,0,San Jose Earthquakes,0,Gillette Stadium
2010-05-15,Columbus Crew SC,1,CD Chivas USA,0,Columbus Crew Stadium
2010-05-15,D.C. United,0,Colorado Rapids,1,RFK Stadium
2010-05-15,New York Red Bulls,0,Seattle Sounders FC,1,Red Bull Arena
2010-05-15,Sporting Kansas City,2,Chicago Fire,2,CommunityAmerica Ballpark
2010-05-15,LA Galaxy,0,Toronto FC,0,The Home Depot Center
2010-05-20,New York Red Bulls,1,Columbus Crew SC,3,Red Bull Arena
2010-05-20,FC Dallas,0,LA Galaxy,1,Pizza Hut Park
2010-05-22,Toronto FC,1,New England Revolution,0,BMO Field
