date,home,home_score,away,away_score,venue
2006-04-01,FC Dallas,3,Chicago Fire,2,Pizza Hut Park
2006-04-01,Sporting Kansas City,3,Columbus Crew SC,1,Arrowhead Stadium
2006-04-02,LA Galaxy,0,New England Revolution,1,The Home Depot Center
2006-04-02,D.C. United,2,New York Red Bulls,2,RFK Stadium
2006-04-02,CD Chivas USA,3,Real Salt Lake,0,The Home Depot Center
2006-04-02,Houston Dynamo,5,Colorado Rapids,2,Robertson Stadium
2006-04-08,D.C. United,2,CD Chivas USA,0,RFK Stadium
2006-04-08,New York Red Bulls,0,New England Revolution,0,Giants Stadium
2006-04-08,Houston Dynamo,1,Sporting Kansas City,2,Robertson Stadium
2006-04-08,FC Dallas,2,Real Salt Lake,1,Pizza Hut Park
2006-04-08,Colorado Rapids,3,Columbus Crew SC,1,Invesco Field at Mile High
2006-04-08,LA Galaxy,1,Chicago Fire,1,The Home Depot Center
2006-04-15,Columbus Crew SC,1,Chicago Fire,1,Columbus Crew Stadium
2006-04-15,D.C. United,2,Houston Dynamo,0,RFK Stadium
2006-04-15,Sporting Kansas City,1,New England Revolution,0,Arrowhead Stadium
2006-04-15,Colorado Rapids,2,FC Dallas,2,Invesco Field at Mile High
2006-04-15,Real Salt Lake,1,New York Red Bulls,1,Rice-Eccles Stadium
2006-04-15,CD Chivas USA,1,LA Galaxy,2,The Home Depot Center
2006-04-22,New York Red Bulls,1,D.C. United,4,Giants Stadium
2006-04-22,Houston Dynamo,2,Real Salt Lake,1,Robertson Stadium
2006-04-22,LA Galaxy,0,Columbus Crew SC,1,The Home Depot Center
2006-04-23,FC Dallas,2,Sporting Kansas City,1,Pizza Hut Park
2006-04-29,Real Salt Lake,2,LA Galaxy,3,Rice-Eccles Stadium
2006-04-29,D.C. United,1,FC Dallas,1,RFK Stadium
2006-04-29,Columbus Crew SC,0,Sporting Kansas City,1,Columbus Crew Stadium
2006-04-29,Colorado Rapids,0,Houston Dynamo,1,Invesco Field at Mile High
2006-04-29,CD Chivas USA,0,New York Red Bulls,0,The Home Depot Center
2006-04-30,New England Revolution,1,Chicago Fire,2,Gillette Stadium
2006-05-06,New England Revolution,4,LA Galaxy,0,Gillette Stadium
2006-05-06,Sporting Kansas City,1,Chicago Fire,1,Arrowhead Stadium
2006-05-06,Houston Dynamo,4,FC Dallas,3,Robertson Stadium
2006-05-06,Real Salt Lake,0,Columbus Crew SC,1,Rice-Eccles Stadium
2006-05-06,Colorado Rapids,2,D.C. United,1,Invesco Field at Mile High
2006-05-10,FC Dallas,1,LA Galaxy,0,Pizza Hut Park
2006-05-13,FC Dallas,1,Houston Dynamo,1,Pizza Hut Park
2006-05-13,New England Revolution,3,CD Chivas USA,1,Gillette Stadium
2006-05-13,Columbus Crew SC,1,Colorado Rapids,0,Columbus Crew Stadium
2006-05-13,D.C. United,2,Sporting Kansas City,1,RFK Stadium
2006-05-13,New York Red Bulls,1,Chicago Fire,1,Giants Stadium
2006-05-13,LA Galaxy,0,Real Salt Lake,3,The Home Depot Center
2006-05-20,Houston Dynamo,0,Chicago Fire,1,Robertson Stadium
2006-05-20,New York Red Bulls,5,CD Chivas USA,4,Giants Stadium
2006-05-20,Columbus Crew SC,1,D.C. United,1,Columbus Crew Stadium
2006-05-20,FC Dallas,4,New England Revolution,0,Pizza Hut Park
2006-05-20,Real Salt Lake,2,Sporting Kansas City,1,Rice-Eccles Stadium
2006-05-20,LA Galaxy,0,Colorado Rapids,1,The Home Depot Center
2006-05-24,New York Red Bulls,1,FC Dallas,2,Giants Stadium
2006-05-27,Real Salt Lake,2,Colorado Rapids,2,Rice-Eccles Stadium
2006-05-27,New England Revolution,1,Houston Dynamo,1,Gillette Stadium
2006-05-27,Sporting Kansas City,1,D.C. United,3,Arrowhead Stadium
2006-05-27,CD Chivas USA,1,Chicago Fire,0,The Home Depot Center
2006-05-31,D.C. United,5,Columbus Crew SC,1,RFK Stadium
2006-05-31,Colorado Rapids,1,LA Galaxy,0,Invesco Field at Mile High
2006-06-03,D.C. United,1,New England Revolution,0,RFK Stadium
2006-06-03,FC Dallas,1,Columbus Crew SC,2,Pizza Hut Park
2006-06-03,Houston Dynamo,2,LA Galaxy,1,Robertson Stadium
2006-06-03,Sporting Kansas City,1,New York Red Bulls,1,Arrowhead Stadium
2006-06-03,Real Salt Lake,3,Chicago Fire,1,Rice-Eccles Stadium
2006-06-03,CD Chivas USA,4,Colorado Rapids,1,The Home Depot Center
2006-06-08,LA Galaxy,1,CD Chivas USA,2,The Home Depot Center
2006-06-09,Colorado Rapids,1,Real Salt Lake,0,Invesco Field at Mile High
2006-06-10,New York Red Bulls,1,Houston Dynamo,1,Giants Stadium
2006-06-10,Columbus Crew SC,0,Sporting Kansas City,1,Columbus Crew Stadium
