date,home,home_score,away,away_score,venue
2007-04-07,Colorado Rapids,2,D.C. United,1,Dick's Sporting Goods Park
2007-04-07,Real Salt Lake,2,FC Dallas,2,Rice-Eccles Stadium
2007-04-07,Columbus Crew SC,0,New York Red Bulls,0,Columbus Crew Stadium
2007-04-07,Chicago Fire,1,New England Revolution,0,Toyota Park
2007-04-07,CD Chivas USA,2,Toronto FC,0,The Home Depot Center
2007-04-08,Houston Dynamo,0,LA Galaxy,0,Robertson Stadium
2007-04-12,LA Galaxy,1,FC Dallas,2,The Home Depot Center
2007-04-14,Real Salt Lake,0,Columbus Crew SC,0,Rice-Eccles Stadium
2007-04-14,D.C. United,2,Sporting Kansas City,4,RFK Stadium
2007-04-14,New England Revolution,4,Toronto FC,0,Gillette Stadium
2007-04-14,Houston Dynamo,1,CD Chivas USA,0,Robertson Stadium
2007-04-15,New York Red Bulls,3,FC Dallas,0,Giants Stadium
2007-04-15,Colorado Rapids,1,Chicago Fire,1,Dick's Sporting Goods Park
2007-04-19,Columbus Crew SC,2,New England Revolution,2,Columbus Crew Stadium
2007-04-21,New York Red Bulls,1,Houston Dynamo,0,Giants Stadium
2007-04-21,Chicago Fire,2,Sporting Kansas City,1,Toyota Park
2007-04-21,CD Chivas USA,4,Real Salt Lake,0,The Home Depot Center
2007-04-22,FC Dallas,3,Colorado Rapids,1,Pizza Hut Park
2007-04-25,Sporting Kansas City,3,Toronto FC,0,Arrowhead Stadium
2007-04-26,FC Dallas,0,New York Red Bulls,1,Pizza Hut Park
2007-04-28,Toronto FC,0,Sporting Kansas City,1,BMO Field
2007-04-28,Columbus Crew SC,1,D.C. United,0,Columbus Crew Stadium
2007-04-28,LA Galaxy,3,CD Chivas USA,1,The Home Depot Center
2007-04-29,FC Dallas,0,New England Revolution,1,Pizza Hut Park
2007-04-29,Houston Dynamo,0,Chicago Fire,1,Robertson Stadium
2007-04-30,Real Salt Lake,0,Colorado Rapids,2,Rice-Eccles Stadium
2007-05-03,D.C. United,1,New England Revolution,1,RFK Stadium
2007-05-05,Sporting Kansas City,1,Columbus Crew SC,0,Arrowhead Stadium
2007-05-05,Real Salt Lake,3,New York Red Bulls,3,Rice-Eccles Stadium
2007-05-05,Colorado Rapids,1,Houston Dynamo,3,Dick's Sporting Goods Park
2007-05-06,D.C. United,2,CD Chivas USA,1,RFK Stadium
2007-05-06,New England Revolution,3,Chicago Fire,1,Gillette Stadium
2007-05-10,Colorado Rapids,1,Real Salt Lake,1,Dick's Sporting Goods Park
2007-05-12,Toronto FC,3,Chicago Fire,1,BMO Field
2007-05-12,Columbus Crew SC,1,CD Chivas USA,1,Columbus Crew Stadium
2007-05-12,Sporting Kansas City,1,FC Dallas,2,Arrowhead Stadium
2007-05-12,LA Galaxy,2,New England Revolution,3,The Home Depot Center
2007-05-13,New York Red Bulls,0,Colorado Rapids,1,Giants Stadium
2007-05-16,Toronto FC,1,Houston Dynamo,0,BMO Field
2007-05-17,Chicago Fire,1,FC Dallas,2,Toyota Park
2007-05-19,Toronto FC,1,D.C. United,2,BMO Field
2007-05-19,New York Red Bulls,4,Columbus Crew SC,0,Giants Stadium
2007-05-19,Houston Dynamo,0,New England Revolution,1,Robertson Stadium
2007-05-19,Colorado Rapids,1,Sporting Kansas City,1,Dick's Sporting Goods Park
2007-05-20,CD Chivas USA,1,LA Galaxy,1,The Home Depot Center
2007-05-20,FC Dallas,2,Real Salt Lake,1,Pizza Hut Park
2007-05-24,New York Red Bulls,3,Chicago Fire,0,Giants Stadium
2007-05-26,New England Revolution,3,Sporting Kansas City,4,Gillette Stadium
2007-05-26,Columbus Crew SC,2,Toronto FC,2,Columbus Crew Stadium
2007-05-26,D.C. United,2,Houston Dynamo,1,RFK Stadium
2007-05-26,Colorado Rapids,1,LA Galaxy,0,Dick's Sporting Goods Park
2007-05-26,CD Chivas USA,2,FC Dallas,0,The Home Depot Center
2007-05-27,Chicago Fire,0,Real Salt Lake,0,Toyota Park
2007-06-02,Toronto FC,2,Colorado Rapids,1,BMO Field
2007-06-02,New England Revolution,0,Real Salt Lake,0,Gillette Stadium
2007-06-02,Sporting Kansas City,3,New York Red Bulls,2,Arrowhead Stadium
2007-06-02,LA Galaxy,0,D.C. United,0,The Home Depot Center
2007-06-03,Houston Dynamo,2,FC Dallas,1,Robertson Stadium
2007-06-03,Chicago Fire,3,Columbus Crew SC,2,Toyota Park
2007-06-06,Toronto FC,1,New York Red Bulls,2,BMO Field
2007-06-07,Houston Dynamo,2,Colorado Rapids,1,Robertson Stadium
