date,home,home_score,away,away_score,venue
2014-03-08,Seattle Sounders FC,1,Sporting Kansas City,0,
2014-03-08,D.C. United,0,Columbus Crew SC,3,RFK Stadium
2014-03-08,Vancouver Whitecaps FC,4,New York Red Bulls,1,BC Place
2014-03-08,Houston Dynamo,4,New England Revolution,0,BBVA Compass Stadium
2014-03-08,FC Dallas,3,Montreal Impact,2,Toyota Stadium
2014-03-08,LA Galaxy,0,Real Salt Lake,1,StubHub Center
2014-03-08,Portland Timbers,1,Philadelphia Union,1,Providence Park
2014-03-09,CD Chivas USA,3,Chicago Fire,2,StubHub Center
2014-03-15,New York Red Bulls,1,Colorado Rapids,1,Red Bull Arena
2014-03-15,Philadelphia Union,1,New England Revolution,0,Talen Energy Stadium
2014-03-15,Seattle Sounders FC,1,Toronto FC,2,
2014-03-15,Houston Dynamo,1,Montreal Impact,0,BBVA Compass Stadium
2014-03-15,Sporting Kansas City,1,FC Dallas,1,Children's Mercy Park
2014-03-15,San Jose Earthquakes,3,Real Salt Lake,3,Buck Shaw Stadium
2014-03-16,Portland Timbers,1,Chicago Fire,1,Providence Park
2014-03-16,CD Chivas USA,1,Vancouver Whitecaps FC,1,StubHub Center
2014-03-22,New England Revolution,0,Vancouver Whitecaps FC,0,Gillette Stadium
2014-03-22,Real Salt Lake,1,LA Galaxy,1,Rio Tinto Stadium
2014-03-22,Toronto FC,1,D.C. United,0,BMO Field
2014-03-22,Colorado Rapids,2,Portland Timbers,0,Dick's Sporting Goods Park
2014-03-22,Columbus Crew SC,2,Philadelphia Union,1,Columbus Crew Stadium
2014-03-22,Sporting Kansas City,1,San Jose Earthquakes,0,Children's Mercy Park
2014-03-22,FC Dallas,3,CD Chivas USA,1,Toyota Stadium
2014-03-23,Chicago Fire,1,New York Red Bulls,1,Toyota Park
2014-03-23,Montreal Impact,0,Seattle Sounders FC,2,Olympic Stadium
2014-03-29,D.C. United,2,Chicago Fire,2,RFK Stadium
2014-03-29,Philadelphia Union,1,Montreal Impact,1,Talen Energy Stadium
2014-03-29,Colorado Rapids,2,Sporting Kansas City,3,Dick's Sporting Goods Park
2014-03-29,Vancouver Whitecaps FC,2,Houston Dynamo,1,BC Place
2014-03-29,FC Dallas,2,Portland Timbers,1,Toyota Stadium
2014-03-29,Real Salt Lake,3,Toronto FC,0,Rio Tinto Stadium
2014-03-29,Seattle Sounders FC,1,Columbus Crew SC,2,CenturyLink Field
2014-03-29,San Jose Earthquakes,1,New England Revolution,2,Buck Shaw Stadium
2014-03-30,New York Red Bulls,1,CD Chivas USA,1,Red Bull Arena
2014-04-05,Portland Timbers,4,Seattle Sounders FC,4,Providence Park
2014-04-05,Montreal Impact,2,New York Red Bulls,2,Olympic Stadium
2014-04-05,Chicago Fire,2,Philadelphia Union,2,Toyota Park
2014-04-05,Columbus Crew SC,0,Toronto FC,2,Columbus Crew Stadium
2014-04-05,Vancouver Whitecaps FC,1,Colorado Rapids,2,BC Place
2014-04-05,D.C. United,2,New England Revolution,0,RFK Stadium
2014-04-05,Houston Dynamo,1,FC Dallas,4,BBVA Compass Stadium
2014-04-05,Sporting Kansas City,0,Real Salt Lake,0,Children's Mercy Park
2014-04-06,CD Chivas USA,0,LA Galaxy,3,StubHub Center
2014-04-12,Philadelphia Union,2,Real Salt Lake,2,Talen Energy Stadium
2014-04-12,Montreal Impact,1,Chicago Fire,1,Olympic Stadium
2014-04-12,Toronto FC,0,Colorado Rapids,1,BMO Field
2014-04-12,New England Revolution,2,Houston Dynamo,0,Gillette Stadium
2014-04-12,D.C. United,1,New York Red Bulls,0,RFK Stadium
2014-04-12,FC Dallas,2,Seattle Sounders FC,3,Toyota Stadium
2014-04-12,Portland Timbers,1,CD Chivas USA,1,Providence Park
