date,home,home_score,away,away_score,venue
1996-04-06,San Jose Earthquakes,1,D.C. United,0,Spartan Stadium
1996-04-13,LA Galaxy,2,New York Red Bulls,1,Rose Bowl
1996-04-13,Tampa Bay Mutiny,3,New England Revolution,2,Houlihan's Stadium
1996-04-13,Columbus Crew SC,4,D.C. United,0,Ohio Stadium
1996-04-13,Sporting Kansas City,3,Colorado Rapids,0,Arrowhead Stadium
1996-04-14,FC Dallas,1,San Jose Earthquakes,0,Cotton Bowl
1996-04-18,FC Dallas,3,Sporting Kansas City,0,Cotton Bowl
1996-04-20,D.C. United,1,LA Galaxy,2,RFK Stadium
1996-04-20,Columbus Crew SC,1,Tampa Bay Mutiny,2,Ohio Stadium
1996-04-20,New York Red Bulls,0,New England Revolution,1,Giants Stadium
1996-04-21,Colorado Rapids,3,FC Dallas,1,Mile High Stadium
1996-04-21,San Jose Earthquakes,2,Sporting Kansas City,3,Spartan Stadium
1996-04-27,New York Red Bulls,0,Columbus Crew SC,2,Giants Stadium
1996-04-27,New England Revolution,2,D.C. United,1,Foxboro Stadium
1996-04-28,Tampa Bay Mutiny,1,FC Dallas,2,Houlihan's Stadium
1996-04-28,LA Galaxy,2,San Jose Earthquakes,1,Rose Bowl
1996-05-01,D.C. United,3,FC Dallas,1,RFK Stadium
1996-05-02,Sporting Kansas City,6,Columbus Crew SC,4,Arrowhead Stadium
1996-05-04,New York Red Bulls,4,Tampa Bay Mutiny,3,Giants Stadium
1996-05-04,New England Revolution,1,San Jose Earthquakes,2,Foxboro Stadium
1996-05-05,FC Dallas,1,Columbus Crew SC,0,Cotton Bowl
1996-05-05,Colorado Rapids,4,Sporting Kansas City,0,Mile High Stadium
1996-05-05,LA Galaxy,3,D.C. United,1,Rose Bowl
1996-05-08,San Jose Earthquakes,3,Colorado Rapids,1,Spartan Stadium
1996-05-08,Tampa Bay Mutiny,2,Sporting Kansas City,0,Houlihan's Stadium
1996-05-11,Colorado Rapids,1,Tampa Bay Mutiny,2,Mile High Stadium
1996-05-11,Columbus Crew SC,3,New England Revolution,2,Ohio Stadium
1996-05-11,Sporting Kansas City,2,FC Dallas,3,Arrowhead Stadium
1996-05-12,D.C. United,1,New York Red Bulls,2,RFK Stadium
1996-05-12,San Jose Earthquakes,1,LA Galaxy,2,Spartan Stadium
1996-05-15,D.C. United,5,Columbus Crew SC,2,RFK Stadium
1996-05-16,New York Red Bulls,3,Colorado Rapids,0,Giants Stadium
1996-05-18,Tampa Bay Mutiny,3,San Jose Earthquakes,2,Houlihan's Stadium
1996-05-18,FC Dallas,3,D.C. United,2,Cotton Bowl
1996-05-19,New England Revolution,2,New York Red Bulls,0,Foxboro Stadium
