date,home,home_score,away,away_score,venue
2009-03-19,Seattle Sounders FC,3,New York Red Bulls,0,Qwest Field
2009-03-21,Houston Dynamo,1,Columbus Crew SC,1,Robertson Stadium
2009-03-21,FC Dallas,1,Chicago Fire,3,Pizza Hut Park
2009-03-21,Sporting Kansas City,2,Toronto FC,3,CommunityAmerica Ballpark
2009-03-21,CD Chivas USA,2,Colorado Rapids,1,The Home Depot Center
2009-03-21,San Jose Earthquakes,0,New England Revolution,1,Buck Shaw Stadium
2009-03-22,LA Galaxy,2,D.C. United,2,The Home Depot Center
2009-03-28,Columbus Crew SC,1,Toronto FC,1,Columbus Crew Stadium
2009-03-28,D.C. United,1,Chicago Fire,1,RFK Stadium
2009-03-28,New York Red Bulls,1,New England Revolution,1,Giants Stadium
2009-03-28,Colorado Rapids,2,Sporting Kansas City,1,Dick's Sporting Goods Park
2009-03-28,Seattle Sounders FC,2,Real Salt Lake,0,Qwest Field
2009-03-28,San Jose Earthquakes,3,Houston Dynamo,2,Buck Shaw Stadium
2009-03-29,FC Dallas,0,CD Chivas USA,2,Pizza Hut Park
2009-04-02,Real Salt Lake,4,Columbus Crew SC,1,Rio Tinto Stadium
2009-04-04,Toronto FC,0,Seattle Sounders FC,2,BMO Field
2009-04-04,D.C. United,1,Houston Dynamo,0,RFK Stadium
2009-04-04,New England Revolution,2,FC Dallas,1,Gillette Stadium
2009-04-04,LA Galaxy,2,Colorado Rapids,3,The Home Depot Center
2009-04-05,Sporting Kansas City,2,San Jose Earthquakes,0,CommunityAmerica Ballpark
2009-04-05,Chicago Fire,1,New York Red Bulls,0,Toyota Park
2009-04-05,CD Chivas USA,2,Columbus Crew SC,1,The Home Depot Center
2009-04-11,Toronto FC,1,FC Dallas,1,BMO Field
2009-04-11,San Jose Earthquakes,3,Chicago Fire,3,Buck Shaw Stadium
2009-04-11,Real Salt Lake,2,D.C. United,1,Rio Tinto Stadium
2009-04-11,Columbus Crew SC,1,Colorado Rapids,1,Columbus Crew Stadium
2009-04-11,Houston Dynamo,0,New York Red Bulls,0,Robertson Stadium
