date,home,home_score,away,away_score,venue
2015-03-06,LA Galaxy,2,Chicago Fire,0,StubHub Center
2015-03-07,D.C. United,1,Montreal Impact,0,RFK Stadium
2015-03-07,Philadelphia Union,0,Colorado Rapids,0,Talen Energy Stadium
2015-03-07,Vancouver Whitecaps FC,1,Toronto FC,3,BC Place
2015-03-07,Houston Dynamo,1,Columbus Crew SC,0,BBVA Compass Stadium
2015-03-07,FC Dallas,1,San Jose Earthquakes,0,Toyota Stadium
2015-03-07,Portland Timbers,0,Real Salt Lake,0,Providence Park
2015-03-08,Orlando City SC,1,New York City FC,1,Camping World Stadium
2015-03-08,Sporting Kansas City,1,New York Red Bulls,1,Children's Mercy Park
2015-03-08,Seattle Sounders FC,3,New England Revolution,0,CenturyLink Field
2015-03-13,Houston Dynamo,0,Orlando City SC,1,BBVA Compass Stadium
2015-03-14,Chicago Fire,0,Vancouver Whitecaps FC,1,Toyota Park
2015-03-14,Columbus Crew SC,2,Toronto FC,0,MAPFRE Stadium
2015-03-14,FC Dallas,3,Sporting Kansas City,1,Toyota Stadium
2015-03-14,Real Salt Lake,3,Philadelphia Union,3,Rio Tinto Stadium
2015-03-14,Seattle Sounders FC,2,San Jose Earthquakes,3,CenturyLink Field
2015-03-15,New York City FC,2,New England Revolution,0,Yankee Stadium
2015-03-15,Portland Timbers,2,LA Galaxy,2,Providence Park
2015-03-21,New England Revolution,0,Montreal Impact,0,Gillette Stadium
2015-03-21,Colorado Rapids,0,New York City FC,0,Dick's Sporting Goods Park
2015-03-21,Philadelphia Union,0,FC Dallas,2,Talen Energy Stadium
2015-03-21,Orlando City SC,0,Vancouver Whitecaps FC,1,Camping World Stadium
2015-03-21,Sporting Kansas City,0,Portland Timbers,0,Children's Mercy Park
2015-03-21,LA Galaxy,1,Houston Dynamo,1,StubHub Center
2015-03-22,New York Red Bulls,2,D.C. United,0,Red Bull Arena
2015-03-22,San Jose Earthquakes,2,Chicago Fire,1,Avaya Stadium
2015-03-28,New England Revolution,2,San Jose Earthquakes,1,Gillette Stadium
