date,home,home_score,away,away_score,venue
2013-03-02,Philadelphia Union,1,Sporting Kansas City,3,Talen Energy Stadium
2013-03-02,Vancouver Whitecaps FC,1,Toronto FC,0,BC Place
2013-03-02,Houston Dynamo,2,D.C. United,0,BBVA Compass Stadium
2013-03-02,FC Dallas,1,Colorado Rapids,0,FC Dallas Stadium
2013-03-02,Seattle Sounders FC,0,Montreal Impact,1,CenturyLink Field
2013-03-02,CD Chivas USA,0,Columbus Crew SC,3,The Home Depot Center
2013-03-03,LA Galaxy,4,Chicago Fire,0,The Home Depot Center
2013-03-03,Portland Timbers,3,New York Red Bulls,3,JELD-WEN Field
2013-03-03,San Jose Earthquakes,0,Real Salt Lake,2,Buck Shaw Stadium
2013-03-09,Toronto FC,2,Sporting Kansas City,1,Rogers Centre
2013-03-09,D.C. United,1,Real Salt Lake,0,RFK Stadium
2013-03-09,Vancouver Whitecaps FC,2,Columbus Crew SC,1,BC Place
2013-03-09,Chicago Fire,0,New England Revolution,1,Toyota Park
2013-03-09,Portland Timbers,1,Montreal Impact,2,JELD-WEN Field
2013-03-10,Colorado Rapids,1,Philadelphia Union,2,Dick's Sporting Goods Park
2013-03-10,CD Chivas USA,3,FC Dallas,1,The Home Depot Center
2013-03-10,San Jose Earthquakes,2,New York Red Bulls,1,Buck Shaw Stadium
2013-03-16,New York Red Bulls,0,D.C. United,0,Red Bull Arena
2013-03-16,Sporting Kansas City,0,Chicago Fire,0,Children's Mercy Park
2013-03-16,Montreal Impact,2,Toronto FC,1,Olympic Stadium
2013-03-16,Philadelphia Union,1,New England Revolution,0,Talen Energy Stadium
2013-03-16,Columbus Crew SC,1,San Jose Earthquakes,1,Crew Stadium
2013-03-16,Real Salt Lake,1,Colorado Rapids,1,Rio Tinto Stadium
2013-03-16,Seattle Sounders FC,1,Portland Timbers,1,CenturyLink Field 
2013-03-17,FC Dallas,3,Houston Dynamo,2,FC Dallas Stadium
2013-03-17,LA Galaxy,1,CD Chivas USA,1,The Home Depot Center
2013-03-23,D.C. United,1,Columbus Crew SC,2,RFK Stadium
2013-03-23,New England Revolution,0,Sporting Kansas City,0,Gillette Stadium
2013-03-23,Montreal Impact,1,New York Red Bulls,0,Olympic Stadium
2013-03-23,FC Dallas,2,Real Salt Lake,0,FC Dallas Stadium
2013-03-23,Houston Dynamo,2,Vancouver Whitecaps FC,1,BBVA Compass Stadium
