date,home,home_score,away,away_score,venue
2016-03-06,New York Red Bulls,0,Toronto FC,2,Red Bull Arena
2016-03-06,Orlando City SC,2,Real Salt Lake,2,Camping World Stadium
2016-03-06,Chicago Fire,3,New York City FC,4,Toyota Park
2016-03-06,FC Dallas,2,Philadelphia Union,0,Toyota Stadium
2016-03-06,Houston Dynamo,3,New England Revolution,3,BBVA Compass Stadium
2016-03-06,San Jose Earthquakes,1,Colorado Rapids,0,Avaya Stadium
2016-03-06,Portland Timbers,2,Columbus Crew SC,1,Providence Park
2016-03-06,Vancouver Whitecaps FC,2,Montreal Impact,3,BC Place
2016-03-06,Seattle Sounders FC,0,Sporting Kansas City,1,CenturyLink Field
2016-03-06,LA Galaxy,4,D.C. United,1,StubHub Center
2016-03-11,Orlando City SC,1,Chicago Fire,1,Camping World Stadium
2016-03-12,New England Revolution,0,D.C. United,0,Gillette Stadium
2016-03-12,Real Salt Lake,2,Seattle Sounders FC,1,Rio Tinto Stadium
2016-03-12,Montreal Impact,3,New York Red Bulls,0,Olympic Stadium
2016-03-12,Colorado Rapids,1,LA Galaxy,0,Dick's Sporting Goods Park
2016-03-12,Columbus Crew SC,1,Philadelphia Union,2,MAPFRE Stadium
2016-03-12,Sporting Kansas City,2,Vancouver Whitecaps FC,1,Children's Mercy Park
2016-03-12,Houston Dynamo,5,FC Dallas,0,BBVA Compass Stadium
2016-03-13,New York City FC,2,Toronto FC,2,Yankee Stadium
2016-03-13,San Jose Earthquakes,2,Portland Timbers,1,Avaya Stadium
2016-03-18,New York City FC,0,Orlando City SC,1,Yankee Stadium
2016-03-19,Chicago Fire,0,Columbus Crew SC,0,Toyota Park
2016-03-19,New York Red Bulls,4,Houston Dynamo,3,Red Bull Arena
2016-03-19,FC Dallas,2,Montreal Impact,0,Toyota Stadium
2016-03-19,Seattle Sounders FC,1,Vancouver Whitecaps FC,2,CenturyLink Field
2016-03-19,LA Galaxy,3,San Jose Earthquakes,1,StubHub Center
2016-03-19,Portland Timbers,2,Real Salt Lake,2,Providence Park
2016-03-20,Philadelphia Union,3,New England Revolution,0,Talen Energy Stadium
